"a","b","c","alpha","beta","gamma","N","A","Ln","Q","AQ","nQ","This.work","A_vol","Cu_vol","Ln_vol","This.work.1","Alkali.Radius","Ln.radius","Cu.Radius","Chalcogenide.radius","Edge.1","Edge.2","Edge.3","Edge.4","Edge.5","Avg.edge","A.Se..bond.1","A.Se..bond.2","A.Se.bond.3","A.Se.bond.4","A.Se.bond.5","avg.pentagon.bond.length","Angle.1..Ln","Angle.4..Cu","Angle.2..Ln2","QTF","CM","Volume"
4.1622416,14.08996,14.40266,90,90,90,1,"K","Sm","Se","KSe","1Se",TRUE,71.2757,7.7415,32.7154,TRUE,1.51,0.958,0.6,1.98,4.25573,4.25573,4.22841,3.91975,4.22841,4.177606,3.92441,3.22522,3.92441,3.34349,3.34349,3.552204,93.9384,105.089,,0.102578797,0.4581,844.7
4.1361,14.0193,14.3843,90,90,90,1,"K","Gd","Se","KSe","1Se",FALSE,70.461,7.7164,32.2184,FALSE,1.51,0.938,0.6,1.98,4.2436,4.2436,4.2,3.941,4.2,4.16564,3.9188,3.2076,3.9188,3.333,3.333,3.54224,94.12,105.7,,0.096848138,0.4597,834.1
4.0611,13.7484,14.1503,90,90,90,1,"K","Er","Se","KSe","1Se",FALSE,67.1935,7.4381,31.548,FALSE,1.51,0.89,0.6,1.98,4.1709,4.1709,4.1123,3.942,4.1123,4.10168,3.863,3.162,3.863,3.282,3.282,3.4904,94.18,107.42,,0.083094556,0.4605,790.1
4.05773,13.74421,13.92651,90,90,90,1,"K","Nd","S","KS","1S",FALSE,66.9459,6.8735,29.7599,FALSE,1.51,0.983,0.6,1.84,4.1392,4.1392,4.1445,3.7955,4.1445,4.07258,3.7841,3.1644,3.7841,3.2918,3.2918,3.46324,94.408,107.51,,0.114328358,0.4552,776.7
4.02184,13.607414,13.826414,90,90,90,1,"K","Sm","S","KS","1S",FALSE,65.3489,6.7649,28.8925,FALSE,1.51,0.958,0.6,1.84,4.1056,4.1056,4.1006,3.7973,4.1006,4.04194,3.7593,3.1369,3.7593,3.2666,3.2666,3.43774,94.435,107.94,,0.106865672,0.4559,756.7
3.9921,13.5233,13.8023,90,90,90,1,"K","Gd","S","KS","1S",FALSE,64.4809,6.7107,28.3653,FALSE,1.51,0.938,0.6,1.84,4.0918,4.0918,4.07,3.815,4.07,4.02772,3.7522,3.12,3.7522,3.253,3.253,3.42608,94.64,108.78,,0.100895522,0.4577,745.1
3.96795,13.424317,13.710218,90,90,90,1,"K","Tb","S","KS","1S",FALSE,63.1232,6.6473,27.7758,FALSE,1.51,0.923,0.6,1.84,4.0626,4.0626,4.0354,3.808,4.0354,4.0008,3.7295,3.0952,3.7295,3.2309,3.2309,3.4032,94.51,108.67,,0.09641791,0.4577,730.3
3.93783,13.333011,13.648711,90,90,90,1,"K","Ho","S","KS","1S",FALSE,62.1223,6.5679,27.1533,FALSE,1.51,0.901,0.6,1.84,4.0408,4.0408,4.0039,3.817,4.0039,3.98128,3.7138,3.0775,3.7138,3.2155,3.2155,3.38722,94.64,109.38,,0.089850746,0.4586,716.6
4.30259,14.6983,14.7903,90,90,90,1,"Rb","La","Se","RbSe","1Se",FALSE,80.9469,8.1139,35.8507,FALSE,1.61,1.032,0.6,1.98,4.4041,4.4041,4.4259,4.005,4.4259,4.333,4.0214,3.396,4.0214,3.4975,3.4975,3.68676,94.59,106.93,,0.120334262,0.4547,935.3
4.27559,14.6413,14.7023,90,90,90,1,"Rb","Ce","Se","RbSe","1Se",FALSE,79.9156,8.0401,35.133,FALSE,1.61,1.01,0.6,1.98,4.3767,4.3767,4.4041,4.01,4.4041,4.31432,4.0003,3.3786,4.0003,3.4875,3.4875,3.67084,94.47,107.29,,0.114206128,0.4545,920.4
4.23678,14.5053,14.5933,90,90,90,1,"Rb","Pr","Se","RbSe","1Se",FALSE,78.0312,7.8777,34.1475,FALSE,1.61,0.99,0.6,1.98,4.3428,4.3428,4.3581,4.002,4.3581,4.28076,3.971,3.3531,3.971,3.4601,3.4601,3.64306,94.553,107.69,,0.108635097,0.4551,896.8
4.21528,14.4573,14.5733,90,90,90,1,"Rb","Nd","Se","RbSe","1Se",FALSE,77.35,7.8329,33.7607,FALSE,1.61,0.983,0.6,1.98,4.3314,4.3314,4.3424,4.009,4.3424,4.27132,3.9666,3.4303,3.9666,3.4503,3.4503,3.65282,94.612,107.99,,0.106685237,0.4562,888.1
4.18349,14.3083,14.4393,90,90,90,1,"Rb","Sm","Se","RbSe","1Se",FALSE,75.2358,7.7178,32.7965,FALSE,1.61,0.958,0.6,1.98,4.29,4.29,4.2934,3.9973,4.2934,4.23282,3.9346,3.3095,3.9346,3.418,3.418,3.60294,94.512,108.21,,0.099721448,0.4559,864.3
4.12371,14.0834,14.2913,90,90,90,1,"Rb","Dy","Se","RbSe","1Se",FALSE,74.3085,7.6674,32.2459,FALSE,1.61,0.912,0.6,1.98,4.2398,4.2398,4.2189,4.016,4.2189,4.18668,3.8959,3.266,3.8959,3.383,3.383,3.56476,94.77,109.9,,0.086908078,0.4575,830
4.15688,14.2273,14.4093,90,90,90,1,"Rb","Gd","Se","RbSe","1Se",FALSE,74.3085,7.6674,32.2459,FALSE,1.61,0.938,0.6,1.98,4.2755,4.2755,4.2641,4.0138,4.2641,4.2186,3.9271,3.2943,3.9271,3.4042,3.4042,3.59138,94.7,108.85,,0.094150418,0.4573,852.2
4.14268,14.1903,14.3843,90,90,90,1,"Rb","Tb","Se","RbSe","1Se",FALSE,74.0521,7.6393,31.8569,FALSE,1.61,0.923,0.6,1.98,4.2671,4.2671,4.2504,4.0338,4.2504,4.21376,3.9212,3.204,3.9212,3.4032,3.4032,3.57056,94.821,109.67,,0.089972145,0.4578,845.6
4.13608,14.1483,14.1323,90,90,90,1,"Rb","Ce","S","RbS","1S",FALSE,73.1999,7.0687,31.185,FALSE,1.61,1.01,0.6,1.84,4.2276,4.2276,4.269,3.886,4.269,4.17584,3.8399,3.291,3.8399,3.402,3.402,3.55496,94.97,110.3,,0.11884058,0.453,827
4.10348,14.0323,14.0313,90,90,90,1,"Rb","Pr","S","RbS","1S",FALSE,71.6833,6.9371,30.3824,FALSE,1.61,0.99,0.6,1.84,4.1971,4.1971,4.231,3.879,4.231,4.14704,3.8121,3.267,3.8121,3.38,3.38,3.53024,94.95,110.52,,0.113043478,0.4528,807.9
4.00303,13.70951,13.81461,90,90,90,1,"Rb","Gd","S","RbS","1S",FALSE,67.5112,6.6572,28.3103,FALSE,1.61,0.938,0.6,1.84,4.118,4.118,4.1229,3.881,4.1229,4.07256,3.7557,3.1928,3.7557,3.3161,3.3161,3.46728,95.19,111.6,,0.097971014,0.4557,758.1
4.07623,13.9541,13.9641,90,90,90,1,"Rb","Nd","S","RbS","1S",FALSE,67.5112,6.6572,28.3103,FALSE,1.61,0.983,0.6,1.84,4.1739,4.1739,4.2051,3.871,4.2051,4.1258,3.7951,3.2473,3.7951,3.3617,3.3617,3.51218,95.01,110.4,,0.111014493,0.4532,794.3
4.03913,13.8151,13.8601,90,90,90,1,"Rb","Sm","S","RbS","1S",FALSE,67.5112,6.6572,28.3103,FALSE,1.61,0.958,0.6,1.84,4.1402,4.1402,4.1603,3.874,4.1603,4.095,3.7682,3.2206,3.7682,3.3379,3.3379,3.48656,95.1,111.06,,0.103768116,0.4539,773.4
3.97918,13.6213,13.7643,90,90,90,1,"Rb","Dy","S","RbS","1S",FALSE,66.7659,6.6265,27.684,FALSE,1.61,0.912,0.6,1.84,4.1019,4.085,4.1019,3.914,4.1019,4.06094,3.7424,3.183,3.7424,3.306,3.306,3.45596,95.38,112.4,,0.090434783,0.4566,746
