Material.ID,Formula,DOI,Crystal.System,Piezoelectric.Modulus,a,b,c,alpha,beta,gamma,Space.Group.Number,Space.Group.Symbol,CDM
mp-6402,Na2ZnGeO4,10.1038/sdata.2015.53,Monoclinic,1.404314133,5.680003,5.427784,9.02700105,52.91393423,90,90,7,Pc,0.6516
mp-5709,Tl3PO4,10.1038/sdata.2015.53,Hexagonal,0.894032508,8.46457754,8.46457742,5.10637282,90,90,120.0000074,173,P6_3,0.9389
mp-10070,BaAg(PO3)3,10.1038/sdata.2015.53,Orthorhombic,0.11859,6.072151,11.309948,12.471077,90,90,90,19,P2_12_12_1,0.9383
mp-30192,Pr4Se3O4,10.1038/sdata.2015.53,Orthorhombic,1.07536,4.05750082,6.84593046,8.51813853,90,90,107.2381469,38,Amm2,0.9379
mp-13923,SnPS3,10.1038/sdata.2015.53,Monoclinic,1.494639398,7.57141576,6.59656698,11.85949965,56.10713323,90,90,7,Pc,0.7213
mp-559934,LiZnPO4,10.1038/sdata.2015.53,Orthorhombic,0.13441,5.036221,6.774319,10.172402,90,90,90,33,Pna2_1,0.9364
mp-545646,Na2CoGeO4,10.1038/sdata.2015.53,Monoclinic,1.383932935,5.685549,5.40709,9.02874413,53.18997241,90,90,7,Pc,0.6534
mp-22965,BiTeI,10.1038/sdata.2015.53,Hexagonal,0.376339893,4.39568684,4.39568684,7.22271835,90,90,119.9999936,156,P3m1,0.9282
mp-12881,Ba3NbGa3(SiO7)2,10.1038/sdata.2015.53,Trigonal,0.705964382,8.65367938,8.65367938,5.271185,90,90,119.9999953,150,P321,0.9272
mp-16995,Sm3Si6N11,10.1038/sdata.2015.53,Tetragonal,1.478314657,10.00990917,10.00990917,4.85467583,90,90,90,100,P4bm,0.9268
mp-4412,La4Se3O4,10.1038/sdata.2015.53,Orthorhombic,1.09605,4.10704675,6.92635323,8.53985278,90,90,107.2462944,38,Amm2,0.9264
mp-16136,Sr3TaGa3(SiO7)2,10.1038/sdata.2015.53,Trigonal,0.53583079,8.41219425,8.41219425,5.129503,90,90,120.000002,150,P321,0.9259
mp-754604,BaBePO4F,10.1038/sdata.2015.53,Monoclinic,0.794567581,4.87790845,4.87790845,9.05917617,74.61460691,74.61460691,90.01785677,9,Cc,0.7356
mp-6853,Ca3TaGa3(SiO7)2,10.1038/sdata.2015.53,Trigonal,2.679148209,8.21188163,8.21188163,5.026812,90,90,119.999997,150,P321,0.9211
